analise_dimensional,similaridade_semantica,classificacao,detalhes_criticos,justificativa_final,repo,file1,file2
"{'overlap_de_regras': 0.8, 'especializacao': 0.2, 'risco_de_conflito': 0.1}",40,Redundantes,"{'redundancias': ['ações de regra repetidas em ambos os arquivos'], 'conflitos': [], 'valor_agregado': 'Ambos os arquivos têm muito que se repetir, mas há um valor especializado na configuração do Floorp'}","Os dois arquivos tendem a ter muitas repetições de regras, mas também há espaço para algumas configurações únicas.",Floorp-Projects/Floorp,CURSOR,COPILOT
"{'overlap_de_regras': 0.4, 'especializacao': 0.6, 'risco_de_conflito': 0.1}",70,Complementares,"{'redundancias': ['A instrução para usar Python é repetida em ambos os arquivos sem necessidade', 'O uso de comentários é recomendado em ambos os arquivos'], 'conflitos': [], 'valor_agregado': 'Os dois arquivos têm uma especialização única, com a primeira focando no workflow de agents e a segunda no uso do copilot.'}","Os dois arquivos têm instruções complementares que agregam valor à documentação geral do Apache Groovy, mas não há redundância ou conflito entre as regras e restrições apresentadas em ambos os documentos.",apache/groovy,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.8, 'especializacao': 0.2, 'risco_de_conflito': 0.1}",80,Redundantes,"{'redundancias': ['Instruções de segurança duplicadas'], 'conflitos': [], 'valor_agregado': 'O valor agregado é baixo, pois a maior parte das instruções é repetição.'}","Os arquivos têm uma grande semelhança nas instruções de segurança, o que sugere uma redundância em termos de especialização. No entanto, ainda há um valor agregado na manutenção de ambos os arquivos separados para garantir a clareza e consistência nos comandos.",bigbluebutton/bigbluebutton,AGENTS.md,CLAUDE.md
"{'overlap_de_regras': 0.5, 'especializacao': 0.8, 'risco_de_conflito': 0.1}",85,Complementares,"{'redundancias': ['repetição de instruções relacionadas a configuração', 'ações repetidas sem diferença'], 'conflitos': [], 'valor_agregado': 'Os dois arquivos são complementares, mas há possibilidade de reduzir redundância com algumas ajustes.'}","Embora os dois arquivos compartilhem várias instruções semelhantes, a especialização de cada arquivo é significativa, tornando cada um útil em seu próprio contexto.",apache/trafficserver,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.25, 'especializacao': 0.5, 'risco_de_conflito': 0.1}",70,Complementares,"{'redundancias': [""repetição exata de instruções como 'sempre use Python'""], 'conflitos': [], 'valor_agregado': 'É recomendável manter os dois arquivos separados para evitar sobrecarga cognitiva.'}","Os arquivos apresentam uma boa semelhança em termos de regras e instruções, mas têm objetivos específicos que justificam sua manutenção separada.",scylladb/scylladb,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.5, 'especializacao': 0.8, 'risco_de_conflito': 0.3}",80,Conflitantes,"{'redundancias': ['cláusulas repetidas'], 'conflitos': ['comandos que contradizem'], 'valor_agregado': 'Mantê-los separados para evitar conflitos.'}","Os dois arquivos apresentam regras e comandos que se contradizem, o que pode levar a problemas de execução.",unoplatform/uno,AGENTS.md,CLAUDE.md
"{'overlap_de_regras': 0.05, 'especializacao': 0.85, 'risco_de_conflito': 0.1}",80,Complementares,"{'redundancias': ['código de instalação repetido sem necessidade'], 'conflitos': [], 'valor_agregado': 'O Arquivo B oferece uma versão mais completa e abrangente do workflow do Arquivo A.'}","Os dois arquivos apresentam um alto nível de complementaridade, com o Arquivo B oferecendo detalhes adicionais que tornam sua execução independente do Arquivo A.",meshery/meshery,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.8, 'especializacao': 0.15, 'risco_de_conflito': 0.05}",80,Redundantes,"{'redundancias': [""A repetição de instruções como 'npm install' e 'npm run build:browser'"", 'A similaridade nas instruções para compilar TypeScript'], 'conflitos': [], 'valor_agregado': ""O valor agregado é a redundância, pois a instrução 'npm run compile' pode ser substituída por 'npm run build:browser'.""}","Os dois arquivos têm muito conteúdo repetido e não há conflitos evidentes, o que sugere que um deles é desnecessário.",eclipse-theia/theia,CLAUDE.md,COPILOT
"{'overlap_de_regras': 0.1, 'especializacao': 0.9, 'risco_de_conflito': 0.05}",80,Complementares,"{'redundancias': ['Tópicos como `setar` e `testar` estão presentes em ambos arquivos, mas com significados diferentes'], 'conflitos': [], 'valor_agregado': 'Embora haja algumas repetições de tópicos, os dois arquivos oferecem uma abordagem diferente para a execução dos fluxos de trabalho e a gestão da documentação.'}","Os dois arquivos apresentam uma grande semelhança em seus objetivos e regras, mas com abordagens diferentes para sua implementação.",rsyslog/rsyslog,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.4, 'especializacao': 0.6, 'risco_de_conflito': 0.3}",80,Complementares,"{'redundancias': ['comandos técnicos repetidos'], 'conflitos': [], 'valor_agregado': 'Valeria a pena manter os dois arquivos separados, pois o A é mais focado em um workflow específico e o B tem um escopo de atuação diferente.'}","Os dois arquivos apresentam uma boa compatibilidade, mas o B oferece especialização com base em seu escopo de atuação específico.",azure/azure-sdk-for-js,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.0, 'especializacao': 1.0, 'risco_de_conflito': 0.0}",70,Complementares,"{'redundancias': [], 'conflitos': [], 'valor_agregado': 'Valeria a pena manter os dois arquivos separados para preservar a especialização em regras e restrições.'}","Os dois arquivos têm um conjunto de regras e restrições únicas, mas compartilham algumas similitudes semanticas.",lammps/lammps,COPILOT,GEMINI.md
"{'overlap_de_regras': 0.8, 'especializacao': 0.2, 'risco_de_conflito': 0.0}",80,Redundantes,"{'redundancias': ['O arquivo B copia quase todo o conteúdo do Arquivo A desnecessariamente'], 'conflitos': [], 'valor_agregado': 'Manter os dois arquivos separados para evitar sobrecarga cognitiva e conflitos de instrução.'}","Os dois arquivos apresentam uma grande semelhança em seus comandos técnicos, tornando-os redundantes.",pubkey/rxdb,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.02, 'especializacao': 0.92, 'risco_de_conflito': 0.05}",70,Complementares,"{'redundancias': ['Aumento da repetição de instruções relacionadas a testes'], 'conflitos': ['Nenhuma ordem contraditória identificada'], 'valor_agregado': 'O valor agregado é manter os dois arquivos separados para evitar sobrecarga cognitiva'}","A análise mostrou que, apesar de haver alguma repetição em regras, os dois arquivos têm um alto nível de especialização e não apresentam conflitos evidentes.",pubkey/rxdb,CLAUDE.md,COPILOT
"{'overlap_de_regras': 0.2, 'especializacao': 0.8, 'risco_de_conflito': 0.1}",85,Redundantes,"{'redundancias': ['comandos técnicos repetidos'], 'conflitos': [], 'valor_agregado': 'Os dois arquivos têm regras distintas, mas uma delas é mais especializada do que a outra.'}",Os comandos técnicos repetidos e as instruções conflitantes sugerem que os dois arquivos podem ser reduzidos sem perder a funcionalidade essencial.,openemr/openemr,CLAUDE.md,COPILOT
"{'overlap_de_regras': 0.4, 'especializacao': 0.8, 'risco_de_conflito': 0.1}",80,Complementares,"{'redundancias': ['repetição de instruções para uso de linguagem'], 'conflitos': [], 'valor_agregado': 'Não há um valor agregado, os dois arquivos têm funcionalidades diferentes.'}",Os dois arquivos têm funcionalidades únicas e são complementares em termos de uso. A repetição de instruções para linguagem não é uma boa prática e deve ser evitada.,dynamods/dynamo,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.3, 'especializacao': 0.8, 'risco_de_conflito': 0.1}",80,Complementares,"{'redundancias': ['Repetição de instruções sobre uso de cláusulas'], 'conflitos': [], 'valor_agregado': 'Os dois arquivos fornecem orientações específicas para agentes AI diferentes, mantendo a consistência e a especialização.'}","A análise mostrou que os dois arquivos apresentam regras e restrições repetidas, mas também oferecem especializações únicas. A classificação é Complementares devido à presença de orientações específicas para agentes AI diferentes.",axonframework/axonframework,AGENTS.md,CLAUDE.md
"{'overlap_de_regras': 0.4, 'especializacao': 0.5, 'risco_de_conflito': 0.1}",60,Complementares,"{'redundancias': ['comandos técnicos repetidos ou contraditórios'], 'conflitos': [], 'valor_agregado': 'Embora haja algumas regras duplicadas, cada arquivo tem funcionalidades únicas.'}","Os dois arquivos têm objetivos de trabalho distintos e embora haja repetições em comandos técnicos, a especialização é notável.",wled/WLED,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.8, 'especializacao': 0.4, 'risco_de_conflito': 0.6}",80,Conflitantes,"{'redundancias': ['lista de tópicos que aparecem em ambos desnecessariamente'], 'conflitos': ['lista de instruções que se contradizem, se houver'], 'valor_agregado': 'Explicação se vale a pena manter os dois arquivos separados.'}","Os arquivos apresentam uma clara repetição de regras e instruções, o que pode causar conflitos no funcionamento do modelo. A especialização dos arquivos é limitada, e sua presença não garante um funcionamento mais eficiente ou seguro.",SynoCommunity/spksrc,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.8, 'especializacao': 0.2, 'risco_de_conflito': 0.1}",80,Complementares,"{'redundancias': ['instruções de build semelhantes em ambos arquivos'], 'conflitos': [], 'valor_agregado': 'Os dois arquivos têm funcionalidades específicas que podem ser úteis separadamente.'}","Ambos os arquivos apresentam instruções de build similares, mas o Arquivo A tem funcionalidades específicas para o workflow do COPILOT, enquanto o Arquivo B é mais geral e pode ser usado em diferentes contextos.",wled-dev/WLED,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.5, 'especializacao': 0.8, 'risco_de_conflito': 0.2}",80,Redundantes | Complementares,"{'redundancias': ['Múltiplos arquivos de contexto com instruções semelhantes, mas não únicas'], 'conflitos': ['Instruções que se repetem ou contradizem'], 'valor_agregado': 'Manter os dois arquivos separados para evitar conflitos e garantir a consistência do fluxo de trabalho.'}","Os arquivos apresentam uma grande quantidade de repetição de instruções, o que pode levar a conflitos se mantidos juntos. No entanto, alguns aspectos podem ser complementares ou únicos, tornando valioso manter ambos arquivos separados.",photoprism/photoprism,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.2, 'especializacao': 0.5, 'risco_de_conflito': 0.1}",60,Complementares,"{'redundancias': ['configurações de build e testes', 'comandos para gerar código'], 'conflitos': [], 'valor_agregado': 'Os dois arquivos têm um valor agregado único, mas as configurações de build e testes são redundantes.'}","A combinação dos dois arquivos melhora a eficiência do processo de desenvolvimento de software, mas elimina some redundância.",aircoookie/wled,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.7, 'especializacao': 0.3, 'risco_de_conflito': 0.0}",80,Complementares,"{'redundancias': [""comandos de flox (ex: 'flox activate -- bash -c <command>' )""], 'conflitos': [], 'valor_agregado': 'Os arquivos AGENTS.md e CURSOR apresentam regras e instruções semelhantes, mas com foco em diferentes processos.'}","Embora os dois arquivos tenham similitudes na forma como são estruturados, eles seguem diferentes workflow e abordagens para alcançar objetivos semelhantes.",posthog/posthog,AGENTS.md,CURSOR
"{'overlap_de_regras': 0.5, 'especializacao': 0.8, 'risco_de_conflito': 0.2}",80,Redundantes Complementares,"{'redundancias': ['repetição de comandos de estilo', 'ordens contraditórias'], 'conflitos': [], 'valor_agregado': 'Embora os dois arquivos tenham algumas repetições e semelhanças, a presença de ordens contraditórias sugere que é melhor manter os dois arquivos separados.'}","Ambos os arquivos apresentam características redundantes e semelhantes, mas com uma abordagem diferente para alcançar o mesmo objetivo, tornando mais apropriado mantê-los separados.",easycorp/easyadminbundle,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.4, 'especializacao': 0.6, 'risco_de_conflito': 0.3}",70,Complementares,"{'redundancias': [['uso de instruções semelhantes', 'aplicação de regras semelhantes']], 'conflitos': [], 'valor_agregado': 'Embora existam alguns pontos similares entre os dois arquivos, há uma boa razão para manter ambos separados, pois eles abordam diferentes workflows e necessidades.'}","Os dois arquivos apresentam características de complementaridade, embora haja algumas redundâncias em regras e instruções. A manutenção dos arquivos separados permite uma maior flexibilidade e especialização.",graphql-java/graphql-java,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.5, 'especializacao': 0.8, 'risco_de_conflito': 0.1}",80,Complementares,"{'redundancias': ['uso de comandos técnicos repetidos'], 'conflitos': [], 'valor_agregado': 'Os dois arquivos têm objetivos distintos e podem ser mantidos separados para evitar redundância.'}","O Arquivo A tem um escopo de atuação mais restrito, enquanto o Arquivo B abrange uma ampla gama de funcionalidades.",humanizr/humanizer,AGENTS.md,CLAUDE.md
"{'overlap_de_regras': 0.3, 'especializacao': 0.4, 'risco_de_conflito': 0.1}",70,Complementares,"{'redundancias': ['Repetição de instruções similares'], 'conflitos': [], 'valor_agregado': 'O arquivo B não introduz nenhuma ordem contraditória e reúne informações valiosas sobre a especialização do sistema.'}","Ambos os arquivos apresentam elementos únicos, mas o Arquivo B oferece mais profundidade na análise de regras e restrições.",kubeflow/pipelines,AGENTS.md,COPILOT
"{'overlap_de_regras': 0.05, 'especializacao': 0.95, 'risco_de_conflito': 0.0}",80,Complementares,"{'redundancias': ['Regras de desenvolvimento e testes'], 'conflitos': [], 'valor_agregado': 'Os dois arquivos oferecem uma visão completa da implementação do MCP e suas recomendações para os desenvolvedores.'}","O arquivo A fornece orientaçóes gerais para a implementaºo do MCP, enquanto o B se concentra em detalhes de desenvolvimento e teste, oferecendo uma abordagem complementar mas não redundante.",azure/azure-sdk-for-go,AGENTS.md,COPILOT
